,user id,question id,statement index,orden,manipulada,deteccion,distancia,variacion agreement,agreement inicial,variacion confianza,confianza inicial,timer
101023,5774,22,101020.0,1.0,0.0,0.0,3.0,0.0,74.0,13.0,65.0,
101024,5774,21,101021.0,2.0,0.0,0.0,3.0,0.0,100.0,-18.0,100.0,
101025,5774,15,101019.0,3.0,0.0,0.0,6.0,0.0,72.0,24.0,52.0,
101026,5774,40,101016.0,4.0,1.0,1.0,10.0,0.0,0.0,0.0,100.0,
101062,5775,16,101061.0,1.0,0.0,0.0,1.0,0.0,76.0,14.0,50.0,
101063,5775,17,101055.0,2.0,1.0,1.0,8.0,-14.0,86.0,0.0,89.0,
101064,5775,18,101058.0,3.0,0.0,0.0,6.0,0.0,11.0,6.0,94.0,
101065,5775,15,101054.0,4.0,1.0,0.0,11.0,-42.0,71.0,4.0,86.0,
101101,5777,15,101093.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,100.0,23705.0
101102,5777,23,101099.0,2.0,0.0,0.0,3.0,0.0,77.0,0.0,100.0,13760.0
101103,5777,21,101100.0,3.0,0.0,0.0,3.0,0.0,37.0,33.0,67.0,7817.0
101104,5777,17,101097.0,4.0,0.0,0.0,7.0,0.0,95.0,0.0,100.0,8758.0
101140,5778,15,101138.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,100.0,130552.0
101141,5778,41,101132.0,2.0,0.0,0.0,9.0,0.0,100.0,66.0,34.0,38218.0
101142,5778,40,101139.0,3.0,0.0,0.0,3.0,0.0,100.0,0.0,100.0,10200.0
101143,5778,18,101134.0,4.0,1.0,0.0,9.0,100.0,0.0,0.0,100.0,228792.0
101179,5779,18,101173.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,100.0,73332.0
101180,5779,19,101178.0,2.0,0.0,0.0,2.0,0.0,100.0,0.0,100.0,25714.0
101181,5779,20,101171.0,3.0,0.0,0.0,10.0,0.0,100.0,0.0,100.0,66399.0
101182,5779,15,101177.0,4.0,1.0,0.0,5.0,100.0,0.0,0.0,100.0,12658.0
101218,5780,40,101210.0,1.0,0.0,0.0,8.0,0.0,0.0,21.0,79.0,53742.0
101219,5780,22,101213.0,2.0,0.0,0.0,6.0,0.0,100.0,0.0,100.0,45156.0
101220,5780,39,101217.0,3.0,0.0,0.0,3.0,0.0,90.0,0.0,100.0,22720.0
101221,5780,21,101214.0,4.0,1.0,1.0,7.0,21.0,79.0,0.0,100.0,22059.0
101257,5782,20,101253.0,1.0,0.0,0.0,4.0,0.0,69.0,0.0,100.0,121273.0
101258,5782,40,101256.0,2.0,1.0,1.0,2.0,6.0,22.0,100.0,0.0,147879.0
101259,5782,15,101255.0,3.0,0.0,0.0,4.0,0.0,74.0,0.0,100.0,142027.0
101260,5782,16,101254.0,4.0,0.0,0.0,6.0,0.0,100.0,0.0,100.0,31037.0
101296,5783,20,101294.0,1.0,0.0,0.0,2.0,0.0,100.0,0.0,100.0,12174.0
101297,5783,39,101291.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,100.0,22424.0
101298,5783,17,101292.0,3.0,0.0,0.0,6.0,0.0,48.0,26.0,52.0,6811.0
101299,5783,21,101290.0,4.0,0.0,0.0,9.0,0.0,100.0,0.0,100.0,5381.0
101335,5784,40,101328.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,100.0,154185.0
101336,5784,23,101332.0,2.0,1.0,0.0,4.0,-30.0,65.0,0.0,58.0,100067.0
101337,5784,39,101331.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,100.0,652002.0
101338,5784,21,101327.0,4.0,0.0,0.0,11.0,0.0,100.0,0.0,100.0,6302.0
101374,5787,41,101367.0,1.0,0.0,0.0,7.0,0.0,16.0,23.0,47.0,20225.0
101375,5787,15,101368.0,2.0,1.0,0.0,7.0,94.0,3.0,0.0,100.0,9063.0
101376,5787,16,101366.0,3.0,0.0,0.0,10.0,0.0,94.0,-3.0,100.0,11380.0
101377,5787,20,101371.0,4.0,1.0,0.0,6.0,-84.0,92.0,-82.0,88.0,28553.0
101413,5791,41,101411.0,1.0,0.0,0.0,2.0,0.0,87.0,-25.0,37.0,14984.0
101414,5791,21,101409.0,2.0,1.0,1.0,5.0,8.0,87.0,-10.0,100.0,21825.0
101415,5791,17,101410.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,100.0,38959.0
101416,5791,39,101412.0,4.0,1.0,1.0,4.0,0.0,0.0,0.0,100.0,24873.0
101452,5792,18,101448.0,1.0,0.0,0.0,4.0,0.0,100.0,0.0,100.0,
101453,5792,21,101446.0,2.0,0.0,0.0,7.0,0.0,100.0,0.0,100.0,
101454,5792,15,101449.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,100.0,
101455,5792,19,101451.0,4.0,0.0,0.0,4.0,0.0,100.0,0.0,100.0,
101491,5793,41,101486.0,1.0,0.0,0.0,5.0,0.0,100.0,0.0,100.0,15307.0
101492,5793,20,101485.0,2.0,0.0,0.0,7.0,0.0,100.0,0.0,100.0,6559.0
101493,5793,17,101487.0,3.0,0.0,0.0,6.0,0.0,100.0,0.0,100.0,4865.0
101494,5793,23,101490.0,4.0,0.0,0.0,4.0,0.0,100.0,10.0,90.0,4799.0
101530,5794,39,101522.0,1.0,0.0,0.0,8.0,0.0,78.0,0.0,100.0,
101531,5794,19,101525.0,2.0,0.0,0.0,6.0,-3.0,100.0,1.0,50.0,
101532,5794,20,101529.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,100.0,
101533,5794,21,101526.0,4.0,1.0,1.0,7.0,0.0,0.0,0.0,100.0,
101569,5795,20,101568.0,1.0,0.0,0.0,1.0,0.0,32.0,3.0,62.0,14096.0
101570,5795,22,101565.0,2.0,1.0,0.0,5.0,-38.0,69.0,2.0,76.0,19241.0
